Invoice ID,Branch,City,Customer,Gender,Product lin,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross marg,gross inco,Rating
272-65-18,A,Yangon,Normal,Female,Electronic,60.88,9,27.396,575.316,,17:17,Ewallet,547.92,4.761905,27.396,4.7
333-73-79,C,Naypyitaw,Normal,Female,Health and,54.92,8,21.968,461.328,3/23/2019,13:24,Ewallet,439.36,4.761905,21.968,7.6
777-82-72,B,Mandalay,Member,Male,Home and,30.12,8,12.048,253.008,########,13:01,Cash,240.96,4.761905,12.048,7.7
280-35-58,B,Mandalay,Member,Female,Home and,86.72,1,4.336,91.056,1/17/2019,18:45,Ewallet,86.72,4.761905,4.336,7.9
554-53-87,C,Naypyitaw,Member,Male,Home and,56.11,2,5.611,117.831,########,10:11,Cash,112.22,4.761905,5.611,6.3
354-25-58,B,Mandalay,Member,Female,Sports and,69.12,6,20.736,435.456,########,13:03,Cash,414.72,4.761905,20.736,5.6
228-96-14,C,Naypyitaw,Member,Female,Food and b,98.7,8,39.48,829.08,########,20:39,,789.6,4.761905,39.48,7.6
617-15-42,C,Naypyitaw,Member,Male,Health and,15.37,2,1.537,32.277,3/16/2019,19:47,Cash,30.74,4.761905,1.537,7.2
132-32-98,B,Mandalay,Member,Female,,93.96,4,18.792,394.632,########,18:00,Cash,375.84,4.761905,18.792,9.5
370-41-73,B,Mandalay,Member,Male,Health and,,9,25.5105,535.7205,2/27/2019,17:24,Credit card,510.21,4.761905,25.5105,8.4
727-46-36,B,Mandalay,Member,Female,Food and b,,9,9.0045,189.0945,########,15:47,Ewallet,180.09,4.761905,9.0045,4.1
669-54-17,B,Mandalay,Member,Male,Electronic,,6,5.679,119.259,########,12:45,Credit card,113.58,4.761905,5.679,8.1
574-22-55,C,Naypyitaw,Member,Female,Fashion ac,,10,41.315,867.615,3/19/2019,17:08,Ewallet,826.3,4.761905,41.315,7.9
326-78-51,C,Naypyitaw,Member,Male,Food and b,,7,31.99,671.79,########,10:19,Cash,639.8,4.761905,31.99,9.5
162-48-80,A,Yangon,Member,Female,Food and b,,5,11.1475,234.0975,########,15:10,Cash,222.95,4.761905,11.1475,8.5
616-24-28,B,Mandalay,Member,Female,Fashion ac,,4,3.574,75.054,3/22/2019,14:42,Ewallet,71.48,4.761905,3.574,6.5
778-71-55,C,Naypyitaw,Member,Male,Fashion ac,,1,0.7715,16.2015,1/25/2019,15:46,Credit card,15.43,4.761905,0.7715,6.1
242-55-67,B,Mandalay,Normal,Male,Home and,,2,1.616,33.936,########,11:49,Ewallet,32.32,4.761905,1.616,6.5
399-46-59,C,Naypyitaw,Normal,Female,Electronic,,8,34.392,722.232,2/28/2019,19:01,Cash,687.84,4.761905,34.392,8.2
106-35-67,A,Yangon,Member,Male,Home and,,2,4.434,93.114,3/27/2019,11:26,Cash,88.68,4.761905,4.434,5.8
635-40-62,A,Yangon,Normal,Male,Health and,,8,35.84,752.64,########,11:28,Ewallet,716.8,4.761905,35.84,6.6
817-48-87,A,Yangon,Member,Female,Home and,,10,36.175,759.675,1/20/2019,15:55,Cash,723.5,4.761905,36.175,5.4
120-06-42,C,Naypyitaw,Normal,Male,Electronic,,6,9.183,192.843,########,20:36,Cash,183.66,4.761905,9.183,9.3
285-68-50,C,Naypyitaw,Member,Female,Sports and,,3,3.711,77.931,2/15/2019,17:47,Credit card,74.22,4.761905,3.711,10
803-83-59,C,Naypyitaw,Normal,Male,Home and,,6,16.719,351.099,2/24/2019,10:55,Ewallet,334.38,4.761905,16.719,7
347-34-22,B,Mandalay,Member,Female,Sports and,,9,24.7815,520.4115,########,13:40,Ewallet,495.63,4.761905,24.7815,10
199-75-81,A,Yangon,Member,Male,Sports and,,10,7.905,166.005,########,12:27,Credit card,158.1,4.761905,7.905,8.6
853-23-24,B,Mandalay,Member,Male,Health and,,4,15.148,318.108,2/14/2019,14:35,Cash,302.96,4.761905,15.148,7.6
877-22-33,A,Yangon,Member,Male,Health and,,10,7.935,166.635,3/13/2019,16:40,Cash,158.7,4.761905,7.935,5.8
838-78-42,C,Naypyitaw,Normal,Female,Health and,,2,3.347,70.287,,15:43,Ewallet,66.94,4.761905,3.347,6.7
109-28-25,B,Mandalay,Member,Female,Fashion ac,,6,29.283,614.943,########,15:01,Ewallet,585.66,4.761905,29.283,9.9
232-11-30,A,Yangon,Normal,Male,Sports and,,10,39.385,827.085,1/24/2019,10:04,Cash,787.7,4.761905,39.385,6.4
382-03-45,A,Yangon,Member,Female,Health and,,1,0.9165,19.2465,########,18:50,Cash,18.33,4.761905,0.9165,4.3
393-65-27,C,Naypyitaw,Normal,Male,Food and b,,10,44.74,939.54,########,12:46,Credit card,894.8,4.761905,44.74,9.6
796-12-20,C,Naypyitaw,Normal,Male,Fashion ac,,10,31.06,652.26,########,16:19,Cash,621.2,4.761905,31.06,5.9
510-95-6347,,Mandalay,Member,Female,Food and b,,3,7.278,152.838,########,18:17,Ewallet,145.56,4.761905,7.278,4
841-35-66,C,Naypyitaw,Normal,Female,Electronic,,6,22.773,478.233,########,18:21,Cash,455.46,4.761905,22.773,8.7
287-21-90,A,Yangon,Normal,Male,Home and,,9,33.6015,705.6315,1/22/2019,10:55,Ewallet,672.03,4.761905,33.6015,9.4
732-94-04,C,Naypyitaw,Normal,Female,Electronic,,10,20.825,437.325,1/13/2019,17:04,Credit card,416.5,4.761905,20.825,5.4
263-10-39,C,Naypyitaw,Member,Male,Fashion ac,,9,22.068,463.428,########,14:20,Credit card,441.36,4.761905,22.068,8.6
381-20-09,A,Yangon,Member,Female,Fashion ac,,9,9.0045,189.0945,########,15:48,Credit card,180.09,4.761905,9.0045,5.7
829-49-19,C,Naypyitaw,Member,Female,Food and b,,10,39.155,822.255,########,16:24,Ewallet,783.1,4.761905,39.155,6.6
756-01-75,C,Naypyitaw,Normal,Female,Health and,,5,5.095,106.995,1/22/2019,18:56,Cash,101.9,4.761905,5.095,6
870-72-44,C,Naypyitaw,Normal,Female,Health and,,6,29.757,624.897,1/21/2019,14:42,Credit card,595.14,4.761905,29.757,5.5
847-38-71,B,Mandalay,Normal,Female,Food and b,,3,14.502,304.542,1/26/2019,19:56,Ewallet,290.04,4.761905,14.502,6.4
480-63-28,C,Naypyitaw,Normal,Male,Food and b,,8,7.7,161.7,1/23/2019,18:37,Ewallet,154,4.761905,7.7,6.6
787-56-07,C,Naypyitaw,Member,Female,Food and b,,4,16.072,337.512,2/23/2019,18:45,Credit card,321.44,4.761905,16.072,8.3
360-39-50,C,Naypyitaw,Member,Male,Sports and,,5,12.2275,256.7775,########,10:17,Cash,244.55,4.761905,12.2275,6.6
730-50-98,C,Naypyitaw,Normal,Female,Sports and,,7,29.071,610.491,########,14:31,Ewallet,581.42,4.761905,29.071,4
362-58-83,C,Naypyitaw,Normal,Male,Fashion ac,,5,19.13,,3/25/2019,10:23,Cash,382.6,4.761905,19.13,9.9
633-44-85,A,Yangon,Member,Male,Food and b,,7,17.283,362.943,3/27/2019,20:35,Credit card,345.66,4.761905,17.283,7.3
504-35-88,A,Yangon,Normal,Male,Sports and,,1,2.1235,44.5935,########,16:57,Cash,42.47,4.761905,2.1235,5.7
318-68-50,B,Mandalay,Normal,Female,Health and,,6,23.097,485.037,2/27/2019,17:55,Cash,461.94,4.761905,23.097,6.1
565-80-59,C,Naypyitaw,Member,Female,Home and,,4,9.476,198.996,1/23/2019,10:25,Cash,189.52,4.761905,9.476,7.1
225-32-09,C,Naypyitaw,Normal,Female,Sports and,,10,22.43,471.03,1/26/2019,19:54,Ewallet,448.6,4.761905,22.43,8.2
873-51-06,A,Yangon,Member,Female,Sports and,,7,7.693,161.553,########,16:42,Ewallet,153.86,4.761905,7.693,5.1
152-08-99,B,Mandalay,Member,Male,Health and,,9,28.962,608.202,########,12:09,Credit card,579.24,4.761905,28.962,8.6
512-91-08,C,Naypyitaw,Normal,Male,Health and,,1,4.4875,94.2375,########,20:05,Credit card,89.75,4.761905,4.4875,6.6
594-34-44,A,Yangon,,Male,Electronic,,1,4.858,102.018,########,20:38,Ewallet,97.16,4.761905,4.858,7.2
766-85-70,B,Mandalay,Normal,Male,Health and,,10,43.935,922.635,3/29/2019,10:25,Ewallet,878.7,,43.935,5.1
871-39-92,C,Naypyitaw,Normal,Female,Electronic,,6,3.735,78.435,########,13:11,Cash,74.7,4.761905,3.735,4.1
865-92-61,A,Yangon,Normal,Male,Food and b,,3,7.9125,166.1625,3/23/2019,10:16,Ewallet,158.25,4.761905,7.9125,9.3
733-01-91,B,Mandalay,Normal,Male,Home and,,6,24.81,521.01,########,18:14,Cash,496.2,4.761905,24.81,7.4
163-56-70,C,Naypyitaw,Member,Male,Fashion ac,,1,2.4355,51.1455,3/26/2019,19:20,Cash,48.71,4.761905,2.4355,4.1
189-98-29,C,Naypyitaw,Normal,Male,Fashion ac,,9,35.3475,742.2975,########,13:22,Cash,706.95,4.761905,35.3475,7.2
551-21-30,C,Naypyitaw,Normal,Female,Electronic,,9,10.3815,218.0115,########,11:27,Cash,207.63,4.761905,10.3815,4.9
212-62-18,A,Yangon,Normal,Male,Food and b,,6,17.478,367.038,3/28/2019,16:44,Cash,349.56,4.761905,17.478,9.9
716-39-14,B,Mandalay,Normal,Male,Health and,,7,10.6225,223.0725,3/19/2019,18:19,Cash,212.45,4.761905,10.6225,8
704-48-39,A,Yangon,Member,Male,Electronic,,10,44.335,931.035,########,14:50,Ewallet,886.7,4.761905,44.335,7.3
628-34-33,C,Naypyitaw,Normal,Male,Fashion ac,,6,8.214,172.494,########,20:54,Credit card,164.28,4.761905,8.214,7.9
630-74-51,A,Yangon,Normal,Male,Sports and,,6,18.639,391.419,3/22/2019,20:19,Cash,372.78,4.761905,18.639,7.4
588-01-74,C,Naypyitaw,Normal,Female,Food and b,,9,15.291,321.111,3/24/2019,10:43,Cash,305.82,4.761905,15.291,4.2
861-77-01,C,Naypyitaw,Member,Male,Electronic,,10,40.985,860.685,########,14:30,Cash,819.7,4.761905,40.985,9.2
479-26-89,B,Mandalay,Member,Female,Sports and,,2,1.649,34.629,########,11:32,Ewallet,32.98,4.761905,1.649,4.6
210-67-58,C,Naypyitaw,Member,Female,Health and,,3,14.7315,309.3615,########,10:41,Credit card,294.63,4.761905,14.7315,7.8
227-78-11,B,Mandalay,Normal,Female,Fashion ac,,7,25.494,535.374,2/15/2019,12:44,,509.88,4.761905,25.494,8.4
645-44-11,A,Yangon,Member,Male,Home and,,9,26.1315,548.7615,1/19/2019,20:07,Ewallet,522.63,4.761905,26.1315,4.3
237-01-61,C,Naypyitaw,Member,Female,Home and,,9,36.3555,763.4655,########,20:31,Credit card,727.11,4.761905,36.3555,9.5
225-98-14,C,Naypyitaw,Normal,Female,Fashion ac,,3,4.053,85.113,########,13:01,Credit card,81.06,4.761905,4.053,7.1
291-32-14,B,Mandalay,Member,Male,Fashion ac,,5,5.485,115.185,########,12:29,Ewallet,109.7,4.761905,5.485,5.3
659-65-89,B,Mandalay,Member,Male,Fashion ac,,1,2.568,53.928,1/16/2019,15:26,Ewallet,51.36,4.761905,2.568,5.2
642-32-29,A,Yangon,Normal,Female,Food and b,,10,5.48,115.08,########,20:48,Ewallet,109.6,4.761905,5.48,6
378-24-27,B,Mandalay,Normal,Male,Home and,,2,5.344,112.224,1/20/2019,20:38,Ewallet,106.88,4.761905,5.344,4.1
638-60-71,A,Yangon,Normal,Female,Electronic,,8,39.824,836.304,2/14/2019,17:03,Credit card,796.48,4.761905,39.824,5.2
659-36-16,C,Naypyitaw,Member,Male,Sports and,,7,19.992,419.832,########,12:02,Credit card,399.84,4.761905,19.992,6.5
219-22-93,B,Mandalay,Member,Male,Sports and,,9,44.982,944.622,########,17:26,Credit card,899.64,4.761905,44.982,4.2
336-78-21,C,Naypyitaw,Member,Male,Home and,,8,25.564,536.844,3/13/2019,19:52,Credit card,511.28,4.761905,25.564,4.6
268-27-61,B,Mandalay,Member,Female,Fashion ac,,8,22.588,474.348,########,14:57,Ewallet,451.76,4.761905,22.588,7.3
668-90-89,A,Yangon,Normal,Female,Home and,,7,32.7915,688.6215,########,18:44,Credit card,655.83,4.761905,32.7915,4.5
870-54-31,A,Yangon,Normal,Female,Sports and,,5,8.0625,169.3125,1/27/2019,13:26,Cash,161.25,4.761905,8.0625,9
189-08-91,C,Naypyitaw,Normal,Female,Fashion ac,,9,14.2785,299.8485,########,16:17,Credit card,285.57,4.761905,14.2785,5.9
663-86-90,C,Naypyitaw,Member,Female,Food and b,,8,27.416,575.736,########,15:57,Ewallet,548.32,4.761905,27.416,8.5
549-84-74,B,Mandalay,Normal,Female,Sports and,,9,40.626,853.146,########,11:15,Ewallet,812.52,4.761905,40.626,7.2
191-10-61,B,Mandalay,Normal,Female,Fashion ac,,7,,291.207,1/25/2019,13:18,Cash,277.34,4.761905,13.867,7.5
802-70-53,A,Yangon,Member,Female,Sports and,,6,27.639,580.419,########,20:34,Cash,552.78,4.761905,27.639,8.3
695-51-00,B,Mandalay,Normal,Female,Sports and,,4,6.968,146.328,########,18:36,Cash,139.36,4.761905,6.968,7.4
590-83-45,B,Mandalay,Member,Male,Electronic,,6,26.235,550.935,2/17/2019,14:40,Credit card,524.7,4.761905,26.235,8.8
483-71-11,C,Naypyitaw,Normal,Female,Health and,,6,24.39,512.19,########,16:43,Ewallet,487.8,4.761905,24.39,5.3
597-78-79,C,Naypyitaw,Normal,Male,Fashion ac,,3,13.533,284.193,2/18/2019,19:39,Cash,270.66,4.761905,13.533,6.2
700-81-17,A,Yangon,Normal,Female,Electronic,,5,6.5775,138.1275,1/18/2019,20:59,Credit card,131.55,4.761905,6.5775,8.8
354-39-51,A,Yangon,Member,Female,Home and,,6,10.326,216.846,2/18/2019,15:39,Cash,206.52,4.761905,10.326,9.8
241-72-95,B,Mandalay,Normal,Male,Sports and,,10,25.955,545.055,2/16/2019,12:21,Cash,519.1,4.761905,25.955,8.2
575-30-80,A,Yangon,Normal,Male,Sports and,,8,29,609,3/16/2019,19:25,Ewallet,580,4.761905,29,9.2
731-81-94,C,Naypyitaw,Member,Female,Sports and,,10,44.9,942.9,1/23/2019,13:00,Credit card,898,4.761905,44.9,5.4
280-17-43,C,Naypyitaw,Member,Male,Health and,,10,45.25,950.25,1/25/2019,13:48,Cash,905,4.761905,45.25,8.1
338-65-22,C,Naypyitaw,Member,Female,Health and,,10,34.3,720.3,########,19:57,Cash,686,4.761905,34.3,9.1
488-25-42,C,Naypyitaw,Member,Female,Food and b,,1,1.5205,31.9305,2/22/2019,10:36,Credit card,30.41,4.761905,1.5205,8.4
239-10-74,A,Yangon,Normal,Female,Home and,,6,23.385,491.085,1/21/2019,16:37,Ewallet,467.7,4.761905,23.385,8
458-41-14,C,Naypyitaw,Normal,Female,Health and,,6,13.878,291.438,########,17:11,Credit card,277.56,4.761905,13.878,9.5
685-64-16,A,Yangon,Member,Female,Fashion ac,,10,15.07,316.47,########,12:28,Ewallet,301.4,4.761905,15.07,9.2
568-90-51,C,Naypyitaw,Normal,Male,Health and,,4,13.228,277.788,3/19/2019,12:46,Credit card,264.56,4.761905,13.228,5.6
262-47-27,B,Mandalay,Member,Male,Home and,,,28.744,603.624,########,15:07,Credit card,574.88,4.761905,28.744,6.2
238-49-04,A,Yangon,Normal,Male,Health and,,8,12.984,272.664,3/27/2019,13:48,Credit card,259.68,4.761905,12.984,4.9
608-96-35,B,Mandalay,Member,Female,Fashion ac,,4,18.308,384.468,3/23/2019,19:20,Credit card,366.16,4.761905,18.308,4.8
584-86-72,C,Naypyitaw,Member,Male,Sports and,,7,12.096,254.016,########,16:07,Credit card,241.92,4.761905,12.096,7.3
746-94-02,A,Yangon,Normal,Male,Fashion ac,,9,37.458,786.618,1/29/2019,11:56,Credit card,749.16,4.761905,37.458,7.4
214-17-69,C,Naypyitaw,Normal,Female,Food and b,,6,4.944,103.824,########,18:23,Ewallet,98.88,4.761905,4.944,9.9
400-89-41,C,Naypyitaw,Normal,Female,Sports and,,8,32.388,680.148,1/28/2019,13:05,Cash,647.76,4.761905,32.388,9.3
782-95-92,A,Yangon,,Male,Food and b,,5,23.0725,484.5225,2/20/2019,15:55,Credit card,461.45,4.761905,23.0725,9
279-74-29,B,Mandalay,Member,Male,Electronic,,1,3.6085,75.7785,########,19:40,Cash,72.17,4.761905,3.6085,6.1
307-85-22,B,Mandalay,Normal,Male,Home and,,5,12.57,263.97,########,13:58,Ewallet,251.4,4.761905,12.57,9.7
743-04-11,B,Mandalay,Member,Male,Health and,,9,43.749,918.729,3/30/2019,14:43,Ewallet,874.98,4.761905,43.749,6
423-57-29,B,Mandalay,Normal,Male,Sports and,,6,28.017,588.357,3/27/2019,19:18,Ewallet,560.34,4.761905,28.017,10
894-41-52,C,Naypyitaw,Normal,Female,Food and b,,8,17.272,362.712,1/19/2019,19:39,Credit card,345.44,4.761905,17.272,8.3
275-28-01,A,Yangon,Normal,Male,Sports and,,1,3.1845,66.8745,2/25/2019,16:21,Cash,63.69,4.761905,3.1845,6
101-17-61,A,Yangon,Normal,Male,Food and b,,7,16.0265,336.5565,3/13/2019,19:44,Credit card,320.53,4.761905,16.0265,7
423-80-09,C,Naypyitaw,Normal,Male,Sports and,,2,7.64,160.44,1/30/2019,19:42,Ewallet,152.8,4.761905,7.64,6.5
548-46-93,B,Mandalay,Normal,Male,Food and b,,10,19.95,418.95,2/20/2019,15:24,Credit card,399,4.761905,19.95,5.9
505-02-08,B,Mandalay,Member,Male,Health and,,8,17.028,357.588,2/25/2019,14:12,Ewallet,340.56,4.761905,17.028,5.6
234-65-21,C,Naypyitaw,Normal,Male,Home and,,10,47.79,1003.59,1/16/2019,13:32,Cash,955.8,4.761905,47.79,4.8
687-47-82,A,Yangon,Normal,Male,Fashion ac,,10,49.49,1039.29,########,16:20,Credit card,989.8,4.761905,49.49,8.7
796-32-90,A,Yangon,Normal,Male,Food and b,,6,15.384,323.064,1/19/2019,16:31,Cash,307.68,4.761905,15.384,6.5
105-31-18,A,Yangon,Member,Male,Sports and,,7,24.332,510.972,########,15:10,Credit card,486.64,4.761905,24.332,8.5
249-42-37,A,Yangon,Normal,Male,Health and,,5,17.5025,367.5525,########,11:36,Ewallet,350.05,4.761905,17.5025,5.5
316-55-46,B,Mandalay,Member,Male,Food and b,,5,20.0125,420.2625,1/26/2019,12:45,Credit card,400.25,4.761905,20.0125,9.4
733-33-49,C,Naypyitaw,Normal,Male,Electronic,,8,8.34,175.14,########,19:17,,166.8,4.761905,8.34,6.3
608-27-62,B,Mandalay,Member,Male,Electronic,,6,15.867,333.207,1/19/2019,17:34,Credit card,317.34,4.761905,15.867,9.8
414-12-70,B,Mandalay,Normal,Male,Food and b,,8,7.916,166.236,1/18/2019,12:04,Ewallet,158.32,4.761905,7.916,8.7
827-26-21,A,Yangon,Member,Male,Home and,,9,15.228,319.788,3/21/2019,16:21,Ewallet,304.56,4.761905,15.228,8.8
175-54-25,A,Yangon,Member,Male,Food and b,,8,8.868,186.228,########,17:01,Credit card,177.36,4.761905,8.868,9.6
139-52-28,C,Naypyitaw,Normal,Female,Fashion ac,,7,7.8785,165.4485,2/13/2019,10:50,Credit card,157.57,4.761905,7.8785,4.8
407-63-89,A,Yangon,Normal,Male,Food and b,,6,22.164,465.444,3/23/2019,19:16,Ewallet,443.28,4.761905,22.164,4.4
342-65-48,C,Naypyitaw,Member,Male,Health and,,3,13.02,273.42,1/28/2019,16:47,Ewallet,260.4,4.761905,13.02,9.9
130-98-89,C,Naypyitaw,Normal,Male,Fashion ac,,7,22.491,472.311,########,10:00,Cash,449.82,4.761905,22.491,5.7
434-83-95,C,Naypyitaw,Member,Male,Food and b,,8,15.388,323.148,1/23/2019,11:51,Cash,307.76,4.761905,15.388,7.7
851-28-63,A,Yangon,Member,Male,Sports and,,10,7.75,162.75,3/23/2019,10:55,Ewallet,155,4.761905,7.75,8
824-88-36,C,Naypyitaw,Normal,Male,Health and,,8,13.724,288.204,1/25/2019,15:00,Ewallet,274.48,4.761905,13.724,5.7
586-25-08,A,Yangon,Normal,Female,Sports and,,7,4.319,90.699,########,11:19,Credit card,86.38,4.761905,4.319,6.7
895-66-06,B,Mandalay,Member,Male,Food and b,,3,2.712,56.952,########,19:46,Ewallet,54.24,4.761905,2.712,8
305-14-02,B,Mandalay,Member,Female,Home and,,8,37.796,793.716,########,19:00,Ewallet,755.92,4.761905,37.796,7.5
732-04-53,B,Mandalay,Member,Male,Home and,,4,9.294,195.174,########,10:53,Cash,185.88,4.761905,9.294,7
400-60-72,A,Yangon,Normal,Male,Home and,,1,3.7035,77.7735,########,12:50,Ewallet,74.07,4.761905,3.7035,9.9
593-65-15,C,Naypyitaw,Normal,Female,Home and,,4,13.962,293.202,1/28/2019,20:50,Credit card,279.24,4.761905,13.962,5.9
284-34-96,B,Mandalay,Normal,Female,Home and,,3,11.556,242.676,########,10:39,Credit card,231.12,4.761905,11.556,7.2
437-58-81,B,Mandalay,Normal,Female,Fashion ac,,2,7.352,154.392,1/15/2019,13:41,Ewallet,147.04,4.761905,7.352,4.6
286-43-62,C,Naypyitaw,Normal,Female,Food and b,,9,39.51,829.71,3/16/2019,19:08,Cash,790.2,4.761905,39.51,9.2
641-43-23,B,Mandalay,Normal,Male,Home and,,4,5.11,107.31,1/26/2019,20:23,Ewallet,102.2,4.761905,5.11,5.7
831-07-60,A,Yangon,Normal,Male,Electronic,,5,8.1775,171.7275,3/19/2019,11:30,Credit card,163.55,4.761905,8.1775,9.9
556-86-31,C,Naypyitaw,Member,Female,Fashion ac,,1,3.7145,78.0045,1/13/2019,19:30,Cash,74.29,4.761905,3.7145,5
848-24-94,C,Naypyitaw,Member,Male,Health and,,2,4.37,91.77,3/26/2019,18:03,Cash,87.4,4.761905,4.37,4.9
856-22-81,A,Yangon,Normal,Female,Home and,,1,1.2645,26.5545,3/23/2019,10:13,Ewallet,25.29,4.761905,1.2645,6.1
699-01-41,C,Naypyitaw,Normal,Male,Health and,,4,8.3,174.3,########,19:58,Credit card,166,4.761905,8.3,8.2
420-11-49,C,Naypyitaw,Member,Female,Food and b,,5,17.8475,374.7975,2/17/2019,19:57,Credit card,356.95,4.761905,17.8475,5.5
606-80-49,C,Naypyitaw,Member,Female,Sports and,,6,5.745,120.645,1/29/2019,10:01,Credit card,114.9,4.761905,5.745,6.8
542-41-05,B,Mandalay,Member,Female,Electronic,,4,11.498,241.458,3/15/2019,11:57,Cash,229.96,4.761905,11.498,6.6
